sampleID,siteID,watershed,month,date,d18OWater,d2HWater,yday,replicate,dexcess,lcexcess,TWI,ContributingArea_ha,Elevation_m,Slope_prc,long,lat
WAIS_04M02_1_RAW_20210713,04M02,N04D,Jul,2021-07-13,-5.7,-36.3,194,1,9.3,-1.37,15.9580707550049,30.2096,362.072326660156,4.05573107937911,-96.58481,39.08775
WAIS_04M02_1_RAW_20210809,04M02,N04D,Aug,2021-08-09,-5.1,-32.4,221,1,8.4,-2.23,15.9580707550049,30.2096,362.072326660156,4.05573107937911,-96.58481,39.08775
WAIS_04M03_1_RAW_20210607,04M03,N04D,Jun,2021-06-07,-5.93,-37.27,158,1,10.17,-0.52,17.7147426605225,29.302,364.991577148438,0.680164764607852,-96.58366,39.08685
WAIS_04M03_1_RAW_20210713,04M03,N04D,Jul,2021-07-13,-5.49,-35.46,194,1,8.46,-2.2,17.7147426605225,29.302,364.991577148438,0.680164764607852,-96.58366,39.08685
WAIS_04M03_1_RAW_20210809,04M03,N04D,Aug,2021-08-09,-4.88,-30.98,221,1,8.06,-2.55,17.7147426605225,29.302,364.991577148438,0.680164764607852,-96.58366,39.08685
WAIS_04M04_1_RAW_20210607,04M04,N04D,Jun,2021-06-07,-5.91,-37.19,158,1,10.09,-0.6,15.8990774154663,28.413,367.72216796875,4.04636632071282,-96.58345,39.08576
WAIS_04M04_1_RAW_20210713,04M04,N04D,Jul,2021-07-13,-5.79,-36.67,194,1,9.65,-1.03,15.8990774154663,28.413,367.72216796875,4.04636632071282,-96.58345,39.08576
WAIS_04M04_1_RAW_20210809,04M04,N04D,Aug,2021-08-09,-5.56,-35.13,221,1,9.35,-1.31,15.8990774154663,28.413,367.72216796875,4.04636632071282,-96.58345,39.08576
WAIS_04M05_1_RAW_20210607,04M05,N04D,Jun,2021-06-07,-5.9,-37.45,158,1,9.5,-1.18,16.1744060516357,23.8689,370.058471679688,2.58365799856904,-96.5831,39.08502
WAIS_04M05_1_RAW_20210713,04M05,N04D,Jul,2021-07-13,-6,-38.4,194,1,9.6,-1.09,16.1744060516357,23.8689,370.058471679688,2.58365799856904,-96.5831,39.08502
WAIS_04M05_1_RAW_20210809,04M05,N04D,Aug,2021-08-09,-5.8,-36.4,221,1,10,-0.68,16.1744060516357,23.8689,370.058471679688,2.58365799856904,-96.5831,39.08502
WAIS_04M06_1_RAW_20210607,04M06,N04D,Jun,2021-06-07,-5.94,-37.33,158,1,10.19,-0.5,15.6375856399536,23.3323,372.054779052734,4.31490041279515,-96.58342,39.084258
WAIS_04M06_1_RAW_20210713,04M06,N04D,Jul,2021-07-13,-5.93,-37.38,194,1,10.06,-0.63,15.6375856399536,23.3323,372.054779052734,4.31490041279515,-96.58342,39.084258
WAIS_04M06_1_RAW_20210809,04M06,N04D,Aug,2021-08-09,-5.74,-36.23,221,1,9.69,-0.98,15.6375856399536,23.3323,372.054779052734,4.31490041279515,-96.58342,39.084258
WAIS_04M07_1_RAW_20210607,04M07,N04D,Jun,2021-06-07,-5.96,-37.27,158,1,10.41,-0.28,17.3331470489502,15.1506,376.434906005859,0.515087172551842,-96.58253,39.08278
WAIS_04M08_1_RAW__20210607,04M08,N04D,Jun,2021-06-07,-5.96,-37.24,158,1,10.44,-0.25,15.4511318206787,13.8929,380.307403564453,3.09870598857612,-96.58221,39.08131
WAIS_04M08_1_RAW_20210713,04M08,N04D,Jul,2021-07-13,-5.92,-37.5,194,1,9.86,-0.83,15.4511318206787,13.8929,380.307403564453,3.09870598857612,-96.58221,39.08131
WAIS_04M08_1_RAW_20210809,04M08,N04D,Aug,2021-08-09,-5.92,-37.24,221,1,10.12,-0.57,15.4511318206787,13.8929,380.307403564453,3.09870598857612,-96.58221,39.08131
WAIS_04M09_1_RAW_20210607,04M09,N04D,Jun,2021-06-07,-6,-37.48,158,1,10.5,-0.19,15.0155191421509,8.4654,384.876220703125,2.9192216286791,-96.581629,39.079941
WAIS_04M10_1_RAW_20210607,04M10,N04D,Jun,2021-06-07,-5.98,-37.31,158,1,10.53,-0.16,14.8743505477905,6.5928,393.935333251953,2.61861519948865,-96.58289,39.077433
WAIS_04M11_1_RAW_20210607,04M11,N04D,Jun,2021-06-07,-5.96,-37.22,158,1,10.46,-0.23,13.7661218643188,2.8759,404.717041015625,3.45818055341955,-96.583835,39.074718
WAIS_04M12_1_RAW_20210607,04M12,N04D,Jun,2021-06-07,-5.9,-37.2,158,1,10,-0.68,14.388445854187,2.2526,407.246307373047,1.45519363037948,-96.584063,39.073158
WAIS_04T02_1_RAW_20210607,04T02,N04D,Jun,2021-06-07,-5.94,-37.18,158,1,10.34,-0.35,14.3093347549438,3.6998,386.719055175781,2.58565615268831,-96.580865,39.079765
WAIS_04W02_1_RAW_20210607,04W02,N04D,Jun,2021-06-07,-5.81,-36.49,158,1,9.99,-0.69,14.1996641159058,6.1059,370.888000488281,4.75410042094446,-96.58691,39.08611
WAIS_04W03_1_RAW_20210607,04W03,N04D,Jun,2021-06-07,-5.9,-36.89,158,1,10.31,-0.37,13.665397644043,4.2006,382.255523681641,5.57549280423922,-96.58803867,39.08385954
WAIS_04W03_1_RAW_20210713,04W03,N04D,Jul,2021-07-13,-5.84,-37.02,194,1,9.7,-0.98,13.665397644043,4.2006,382.255523681641,5.57549280423922,-96.58803867,39.08385954
WAIS_04W03_1_RAW_20210809,04W03,N04D,Aug,2021-08-09,-4.76,-30,221,1,8.08,-2.53,13.665397644043,4.2006,382.255523681641,5.57549280423922,-96.58803867,39.08385954
WAIS_04W04_1_RAW_20210607,04W04,N04D,Jun,2021-06-07,-5.85,-36.79,158,1,10.01,-0.67,13.686861038208,2.9816,390.920166015625,3.87979879049352,-96.58868,39.08228
WAIS_04W04_1_RAW_20210713,04W04,N04D,Jul,2021-07-13,-5.96,-37.82,194,1,9.86,-0.83,13.686861038208,2.9816,390.920166015625,3.87979879049352,-96.58868,39.08228
WAIS_04W04_1_RAW_20210809,04W04,N04D,Aug,2021-08-09,-5.84,-36.79,221,1,9.93,-0.75,13.686861038208,2.9816,390.920166015625,3.87979879049352,-96.58868,39.08228
WAIS_20M04_1_RAW_20210607,20M04,N20B,Jun,2021-06-07,-5.98,-36.99,158,1,10.85,0.16,15.419207572937,8.6075,389.796203613281,1.98325844763327,-96.57111,39.08709
WAIS_20M05_1_RAW_20210607,20M05,N20B,Jun,2021-06-07,-6.01,-37.31,158,1,10.77,0.08,13.7070283889771,5.444,401.0048828125,6.91935096376316,-96.568,39.086
WAIS_20M05_1_RAW_20210713,20M05,N20B,Jul,2021-07-13,-5.1,-32.41,194,1,8.39,-2.24,13.7070283889771,5.444,401.0048828125,6.91935096376316,-96.568,39.086
WAIS_SFM01_1_RAW_20210607,SFM01,SFKC,Jun,2021-06-07,-5.94,-37.93,158,1,8.9,-1.79,18.4498310089111,132.6873,350.811157226562,1.47647448239279,-96.587193,39.092281
WAIS_SFM01_1_RAW_20210713,SFM01,SFKC,Jul,2021-07-13,-5.8,-36.39,194,1,9.8,-0.88,18.4498310089111,132.6873,350.811157226562,1.47647448239279,-96.587193,39.092281
WAIS_SFM02_1_RAW_20210607,SFM02,SFKC,Jun,2021-06-07,-5.91,-36.91,158,1,10.37,-0.32,17.5833492279053,107.6787,352.750610351562,2.84821417052932,-96.58632,39.09126
WAIS_SFM03_1_RAW_20210607,SFM03,SFKC,Jun,2021-06-07,-5.89,-36.82,158,1,10.3,-0.38,16.6171092987061,67.3302,353.385375976562,4.67389311910185,-96.58605,39.09095
WAIS_SFM04_1_RAW_20210607,SFM04,SFKC,Jun,2021-06-07,-5.88,-36.9,158,1,10.14,-0.54,18.6879825592041,60.9054,356.138275146484,0.534205380242959,-96.5844,39.09089
WAIS_SFM05_1_RAW_20210607,SFM05,SFKC,Jun,2021-06-07,-5.87,-36.77,158,1,10.19,-0.49,16.9318199157715,58.6702,361.067810058594,2.97703061412269,-96.58186,39.09019
WAIS_SFM05_1_RAW_20210713,SFM05,SFKC,Jul,2021-07-13,-5.68,-36.74,194,1,8.7,-1.97,16.9318199157715,58.6702,361.067810058594,2.97703061412269,-96.58186,39.09019
WAIS_SFM06_1_RAW_20210607,SFM06,SFKC,Jun,2021-06-07,-5.88,-36.8,158,1,10.24,-0.44,16.90305519104,51.0121,365.224548339844,2.66445720234079,-96.57941,39.0895
WAIS_SFM07_1_RAW_20210607,SFM07,SFKC,Jun,2021-06-07,-5.93,-37,158,1,10.44,-0.25,17.5471897125244,49.9061,367.348571777344,1.36954357414589,-96.578458,39.088683
WAIS_SFT01_1_RAW_20210606,SFT01,SFKC,Jun,2021-06-06,-5.76,-36.56,157,1,9.52,-1.16,13.7874336242676,4.5053,356.83984375,5.29457699076767,-96.58517,39.09185
WAIS_SFT01_1_RAW_20210713,SFT01,SFKC,Jul,2021-07-13,-5.79,-37.29,194,1,9.03,-1.65,13.7874336242676,4.5053,356.83984375,5.29457699076767,-96.58517,39.09185
WAIS_SFT01_1_RAW_20210809,SFT01,SFKC,Aug,2021-08-09,-5.67,-36.25,221,1,9.11,-1.56,13.7874336242676,4.5053,356.83984375,5.29457699076767,-96.58517,39.09185
WAIS_SFT02_1_RAW_20210606,SFT02,SFKC,Jun,2021-06-06,-5.85,-36.98,157,1,9.82,-0.86,14.250189781189,4.8346,372.468902587891,3.5823483898089,-96.57852,39.09105
