"siteID","watershed","month","date","d18OWater","d2HWater","yday","dexcess","lcexcess","TWI","ContributingArea_ha","Elevation_m","Slope_prc","long","lat","s1","s2","s1_rhat","s2_rhat","s1_n.eff","s2_n.eff"
"04M04","N04D","Jul",2021-07-13,-5.79,-36.67,194,9.65,-1.03,15.8990774154663,28.413,367.72216796875,4.04636632071282,-96.58345,39.08576,54.8252082062031,45.1747917937969,1.00423785645747,1.00206556438678,720,1600
"04M04","N04D","Aug",2021-08-09,-5.56,-35.13,221,9.35,-1.31,15.8990774154663,28.413,367.72216796875,4.04636632071282,-96.58345,39.08576,43.8758766647717,56.1241233352283,1.01437470196675,1.00705007693174,230,320
"04M05","N04D","Jun",2021-06-07,-5.9,-37.45,158,9.5,-1.18,16.1744060516357,23.8689,370.058471679688,2.58365799856904,-96.5831,39.08502,56.8465566006339,43.1534433993661,1.02281594365524,1.00821477730558,450,1200
"04M05","N04D","Jul",2021-07-13,-6,-38.4,194,9.6,-1.09,16.1744060516357,23.8689,370.058471679688,2.58365799856904,-96.5831,39.08502,54.8386524271764,45.1613475728236,1.00500379378653,1.00260082820966,1700,7500
"04M05","N04D","Aug",2021-08-09,-5.8,-36.4,221,10,-0.68,16.1744060516357,23.8689,370.058471679688,2.58365799856904,-96.5831,39.08502,44.2494082455059,55.7505917544941,1.00824083639647,1.00818885502345,1000,760
"04M06","N04D","Jun",2021-06-07,-5.94,-37.33,158,10.19,-0.5,15.6375856399536,23.3323,372.054779052734,4.31490041279515,-96.58342,39.084258,59.3919530177229,40.6080469822771,1.00405651833084,1.00747006436061,620,460
"04M06","N04D","Jul",2021-07-13,-5.93,-37.38,194,10.06,-0.63,15.6375856399536,23.3323,372.054779052734,4.31490041279515,-96.58342,39.084258,54.870810459071,45.129189540929,1.00813636837804,1.00592294145448,370,390
"04M06","N04D","Aug",2021-08-09,-5.74,-36.23,221,9.69,-0.98,15.6375856399536,23.3323,372.054779052734,4.31490041279515,-96.58342,39.084258,42.4095514853742,57.5904485146258,1.00627819665514,1.02776081040341,620,150
"04M07","N04D","Jun",2021-06-07,-5.96,-37.27,158,10.41,-0.28,17.3331470489502,15.1506,376.434906005859,0.515087172551842,-96.58253,39.08278,61.1031180628762,38.8968819371238,1.01515019181926,1.02370137433333,220,120
"04M08","N04D","Jun",2021-06-07,-5.96,-37.24,158,10.44,-0.25,15.4511318206787,13.8929,380.307403564453,3.09870598857612,-96.58221,39.08131,60.6399428103247,39.3600571896753,1.00574129983079,1.0027568146825,960,1000
"04M08","N04D","Jul",2021-07-13,-5.92,-37.5,194,9.86,-0.83,15.4511318206787,13.8929,380.307403564453,3.09870598857612,-96.58221,39.08131,52.381491710462,47.618508289538,1.01255969908463,1.00196187718574,300,1700
"04M08","N04D","Aug",2021-08-09,-5.92,-37.24,221,10.12,-0.57,15.4511318206787,13.8929,380.307403564453,3.09870598857612,-96.58221,39.08131,43.7257071382168,56.2742928617832,1.0227671119555,1.01076253106375,170,200
"04M09","N04D","Jun",2021-06-07,-6,-37.48,158,10.5,-0.19,15.0155191421509,8.4654,384.876220703125,2.9192216286791,-96.581629,39.079941,59.3562397632434,40.6437602367566,1.01063541004755,1.00396358032072,420,1800
"04M10","N04D","Jun",2021-06-07,-5.98,-37.31,158,10.53,-0.16,14.8743505477905,6.5928,393.935333251953,2.61861519948865,-96.58289,39.077433,59.6194139996934,40.3805860003066,1.00339323419086,1.00200680014361,1400,1700
"04M11","N04D","Jun",2021-06-07,-5.96,-37.22,158,10.46,-0.23,13.7661218643188,2.8759,404.717041015625,3.45818055341955,-96.583835,39.074718,60.2179989105531,39.7820010894469,1.01133175808127,1.01023773118775,250,230
"04M12","N04D","Jun",2021-06-07,-5.9,-37.2,158,10,-0.68,14.388445854187,2.2526,407.246307373047,1.45519363037948,-96.584063,39.073158,56.45995663785,43.54004336215,1.00664959081686,1.01499426459984,490,1900
"04T02","N04D","Jun",2021-06-07,-5.94,-37.18,158,10.34,-0.35,14.3093347549438,3.6998,386.719055175781,2.58565615268831,-96.580865,39.079765,58.9474850012246,41.0525149987754,1.01027330560585,1.00853072460908,270,330
"04W02","N04D","Jun",2021-06-07,-5.81,-36.49,158,9.99,-0.69,14.1996641159058,6.1059,370.888000488281,4.75410042094446,-96.58691,39.08611,58.9755019759855,41.0244980240145,1.00980164014519,1.03370074768427,220,82
"04W03","N04D","Jun",2021-06-07,-5.9,-36.89,158,10.31,-0.37,13.665397644043,4.2006,382.255523681641,5.57549280423922,-96.58803867,39.08385954,62.6061829188818,37.3938170811182,1.01911549170018,1.00741659167904,230,320
"04W03","N04D","Jul",2021-07-13,-5.84,-37.02,194,9.7,-0.98,13.665397644043,4.2006,382.255523681641,5.57549280423922,-96.58803867,39.08385954,54.6134540889809,45.3865459110191,1.03601080653874,1.0461955272828,79,65
"04W03","N04D","Aug",2021-08-09,-4.76,-30,221,8.08,-2.53,13.665397644043,4.2006,382.255523681641,5.57549280423922,-96.58803867,39.08385954,52.4929004353534,47.5070995646466,1.00952108980988,1.0035771023831,730,1100
"04W04","N04D","Jun",2021-06-07,-5.85,-36.79,158,10.01,-0.67,13.686861038208,2.9816,390.920166015625,3.87979879049352,-96.58868,39.08228,56.3018306251482,43.6981693748518,1.00230748274348,1.01433390118782,1300,300
"04W04","N04D","Jul",2021-07-13,-5.96,-37.82,194,9.86,-0.83,13.686861038208,2.9816,390.920166015625,3.87979879049352,-96.58868,39.08228,55.024393726487,44.975606273513,1.01414849924438,1.01553756127297,230,160
"04W04","N04D","Aug",2021-08-09,-5.84,-36.79,221,9.93,-0.75,13.686861038208,2.9816,390.920166015625,3.87979879049352,-96.58868,39.08228,43.5584447446189,56.4415552553811,1.00270694801796,1.00768442289697,3300,490
"20M04","N20B","Jun",2021-06-07,-5.98,-36.99,158,10.85,0.16,15.419207572937,8.6075,389.796203613281,1.98325844763327,-96.57111,39.08709,62.0133629977568,37.9866370022432,1.02878937388089,1.01926443953824,150,160
"20M05","N20B","Jun",2021-06-07,-6.01,-37.31,158,10.77,0.08,13.7070283889771,5.444,401.0048828125,6.91935096376316,-96.568,39.086,61.6526125159166,38.3473874840834,1.00513072676591,1.00548517329643,540,610
"20M05","N20B","Jul",2021-07-13,-5.1,-32.41,194,8.39,-2.24,13.7070283889771,5.444,401.0048828125,6.91935096376316,-96.568,39.086,58.9968925229607,41.0031074770393,1.00800439364802,1.00125468660712,600,4400
"SFM01","SFKC","Jun",2021-06-07,-5.94,-37.93,158,8.9,-1.79,18.4498310089111,132.6873,350.811157226562,1.47647448239279,-96.587193,39.092281,57.2606822039389,42.7393177960611,1.02922413794248,1.0371137441353,93,72
"SFM01","SFKC","Jul",2021-07-13,-5.8,-36.39,194,9.8,-0.88,18.4498310089111,132.6873,350.811157226562,1.47647448239279,-96.587193,39.092281,56.4911104662056,43.5088895337944,1.00740000438017,1.00354427285849,450,1900
"SFM02","SFKC","Jun",2021-06-07,-5.91,-36.91,158,10.37,-0.32,17.5833492279053,107.6787,352.750610351562,2.84821417052932,-96.58632,39.09126,58.4287440116445,41.5712559883555,1.01159597788037,1.01036019259135,200,210
"SFM03","SFKC","Jun",2021-06-07,-5.89,-36.82,158,10.3,-0.38,16.6171092987061,67.3302,353.385375976562,4.67389311910185,-96.58605,39.09095,62.016201612405,37.983798387595,1.02144727828094,1.00179923679128,310,2000
"SFM04","SFKC","Jun",2021-06-07,-5.88,-36.9,158,10.14,-0.54,18.6879825592041,60.9054,356.138275146484,0.534205380242959,-96.5844,39.09089,57.4820721803325,42.5179278196675,1.00277249276226,1.0140002258449,1100,320
"SFM05","SFKC","Jun",2021-06-07,-5.87,-36.77,158,10.19,-0.49,16.9318199157715,58.6702,361.067810058594,2.97703061412269,-96.58186,39.09019,59.6735425001052,40.3264574998948,1.01978472672064,1.00801366195113,200,280
"SFM05","SFKC","Jul",2021-07-13,-5.68,-36.74,194,8.7,-1.97,16.9318199157715,58.6702,361.067810058594,2.97703061412269,-96.58186,39.09019,52.60266900702,47.39733099298,1.00548375246753,1.00226851510753,1900,1500
"SFM06","SFKC","Jun",2021-06-07,-5.88,-36.8,158,10.24,-0.44,16.90305519104,51.0121,365.224548339844,2.66445720234079,-96.57941,39.0895,60.4824087600741,39.5175912399259,1.00383377633485,1.00754544044223,1300,450
"SFM07","SFKC","Jun",2021-06-07,-5.93,-37,158,10.44,-0.25,17.5471897125244,49.9061,367.348571777344,1.36954357414589,-96.578458,39.088683,57.2673613135815,42.7326386864185,1.00150676863433,1.00096204272254,3400,7500
"SFT01","SFKC","Jun",2021-06-06,-5.76,-36.56,157,9.52,-1.16,13.7874336242676,4.5053,356.83984375,5.29457699076767,-96.58517,39.09185,57.7513798411286,42.2486201588714,1.00393866489335,1.00331158525897,640,800
"SFT01","SFKC","Jul",2021-07-13,-5.79,-37.29,194,9.03,-1.65,13.7874336242676,4.5053,356.83984375,5.29457699076767,-96.58517,39.09185,49.7378982460809,50.2621017539191,1.02792195636546,1.01992506445984,110,130
"SFT01","SFKC","Aug",2021-08-09,-5.67,-36.25,221,9.11,-1.56,13.7874336242676,4.5053,356.83984375,5.29457699076767,-96.58517,39.09185,39.121637643537,60.878362356463,1.00154410129131,1.00479641528547,6600,1500
"SFT02","SFKC","Jun",2021-06-06,-5.85,-36.98,157,9.82,-0.86,14.250189781189,4.8346,372.468902587891,3.5823483898089,-96.57852,39.09105,58.6277831804525,41.3722168195475,1.01708945623113,1.00840053313784,250,470
