siteID,date,month,watershed,d18O,d2H,dexcess,lcexcess,elevation_m,contributing_area_ha,slope_pct,twi,lon,lat,flowing,prior,s1,s2,s1_rhat,s2_rhat,s1_neff,s2_neff
02M08,2021-06-07,6,N02B,-5.93,-37.18,10.26,-0.44,376.87,12.97,1.79,15.93,-96.592913,39.085573,TRUE,"c(0.5, 0.5)",0.601980740480111,0.3980192595198891,1.00219157940805,1.0029713642068587,1400,920
02M10,2021-06-07,6,N02B,-5.92,-37.08,10.28,-0.41,387.22,6.15,5.14,14.13,-96.59357,39.08251,TRUE,"c(0.5, 0.5)",0.5940652224190235,0.4059347775809765,1.001402972452393,1.0020155268478843,3300,1600
02M10,2021-07-13,7,N02B,-5.57,-35.54,9.02,-1.65,387.22,6.15,5.14,14.13,-96.59357,39.08251,FALSE,"c(0.5, 0.5)",0.5697194952499061,0.430280504750094,1.0021053114184126,1.0050185095532844,1500,520
02M11,2021-06-07,6,N02B,-5.92,-37.14,10.22,-0.47,401.54,2.67,1.42,14.58,-96.593682,39.079249,TRUE,"c(0.5, 0.5)",0.58762645969177,0.41237354030823,1.007334234705617,1.0018699128828756,780,1900
02M11,2021-07-13,7,N02B,-5.58,-35.42,9.22,-1.45,401.54,2.67,1.42,14.58,-96.593682,39.079249,FALSE,"c(0.5, 0.5)",0.5717417230278071,0.42825827697219293,1.0035122244616368,1.0012494179212925,1200,7500
04M01,2021-06-07,6,N04D,-5.92,-37.15,10.21,-0.48,355.16,39.76,4.5,16.13,-96.586195,39.089842,TRUE,"c(0.5, 0.5)",0.5947782135913154,0.4052217864086845,1.0031194572733118,1.0042395862070257,900,580
04M01,2021-07-13,7,N04D,-5.82,-36.99,9.57,-1.12,355.16,39.76,4.5,16.13,-96.586195,39.089842,TRUE,"c(0.5, 0.5)",0.5648411066210806,0.4351588933789195,1.0038284339631371,1.0062290739077924,2100,900
04M01,2021-08-09,8,N04D,-4.64,-29.25,7.87,-2.73,355.16,39.76,4.5,16.13,-96.586195,39.089842,FALSE,"c(0.5, 0.5)",0.5092363838887034,0.4907636161112966,1.0099872831235985,1.0096660528875934,230,230
04M02,2021-06-07,6,N04D,-5.96,-38,9.68,-1.02,362.07,30.21,4.06,15.96,-96.58481,39.08775,TRUE,"c(0.5, 0.5)",0.5797802260706751,0.4202197739293248,1.006758117128085,1.003028815973466,1400,2800
04M02,2021-07-13,7,N04D,-5.7,-36.3,9.3,-1.38,362.07,30.21,4.06,15.96,-96.58481,39.08775,TRUE,"c(0.5, 0.5)",0.5573453192080586,0.4426546807919414,1.0009456289764138,1.0016557958981431,7500,3300
04M02,2021-08-09,8,N04D,-5.1,-32.4,8.4,-2.24,362.07,30.21,4.06,15.96,-96.58481,39.08775,FALSE,"c(0.5, 0.5)",0.45431090631994064,0.5456890936800594,1.002090290613049,1.001034445224484,7500,7500
04M03,2021-06-07,6,N04D,-5.93,-37.27,10.17,-0.53,364.99,29.3,0.68,17.71,-96.58366,39.08685,TRUE,"c(0.5, 0.5)",0.5774438323526683,0.4225561676473317,1.000931895639907,1.0011496173015841,7500,5700
04M03,2021-07-13,7,N04D,-5.49,-35.46,8.46,-2.2,364.99,29.3,0.68,17.71,-96.58366,39.08685,TRUE,"c(0.5, 0.5)",0.5453547124429792,0.4546452875570208,1.0037390715450805,1.0025998785254673,770,1100
04M03,2021-08-09,8,N04D,-4.88,-30.98,8.06,-2.56,364.99,29.3,0.68,17.71,-96.58366,39.08685,FALSE,"c(0.5, 0.5)",0.4616189518997458,0.5383810481002542,1.0024583702777599,1.0033784481388837,1200,820
04M04,2021-06-07,6,N04D,-5.91,-37.19,10.09,-0.6,367.72,28.41,4.05,15.9,-96.58345,39.08576,TRUE,"c(0.5, 0.5)",0.5966351426186677,0.40336485738133226,1.0033233953783158,1.0014940716550642,2600,3300
04M04,2021-07-13,7,N04D,-5.79,-36.67,9.65,-1.04,367.72,28.41,4.05,15.9,-96.58345,39.08576,TRUE,"c(0.5, 0.5)",0.5571155547282463,0.44288444527175375,1.0024275239948883,1.0040366324192764,1200,830
04M04,2021-08-09,8,N04D,-5.56,-35.13,9.35,-1.32,367.72,28.41,4.05,15.9,-96.58345,39.08576,TRUE,"c(0.5, 0.5)",0.44866329347919964,0.5513367065208004,1.005046993546705,1.0034053474707658,1100,780
04M05,2021-06-07,6,N04D,-5.9,-37.45,9.75,-0.94,370.06,23.87,2.58,16.17,-96.5831,39.08502,TRUE,"c(0.5, 0.5)",0.5976660043630143,0.4023339956369857,1.001498120618519,1.001117176305198,7400,6300
04M05,2021-07-13,7,N04D,-6,-38.4,9.6,-1.1,370.06,23.87,2.58,16.17,-96.5831,39.08502,TRUE,"c(0.5, 0.5)",0.5486342795532662,0.45136572044673384,1.0055425805103317,1.0056231904801265,660,530
04M05,2021-08-09,8,N04D,-5.8,-36.4,10,-0.69,370.06,23.87,2.58,16.17,-96.5831,39.08502,FALSE,"c(0.5, 0.5)",0.4497545015648169,0.5502454984351831,1.0042641190223591,1.0019382065915154,1200,1800
04M06,2021-06-07,6,N04D,-5.94,-37.33,10.19,-0.51,372.05,23.33,4.31,15.64,-96.58342,39.084258,TRUE,"c(0.5, 0.5)",0.6056986616210722,0.39430133837892783,1.0040166652117166,1.0065046510699538,620,360
04M06,2021-07-13,7,N04D,-5.93,-37.38,10.06,-0.64,372.05,23.33,4.31,15.64,-96.58342,39.084258,FALSE,"c(0.5, 0.5)",0.5664355755385106,0.4335644244614893,1.0056653850186885,1.0072934983456583,510,370
04M06,2021-08-09,8,N04D,-5.74,-36.23,9.69,-0.99,372.05,23.33,4.31,15.64,-96.58342,39.084258,FALSE,"c(0.5, 0.5)",0.4505256406530524,0.5494743593469477,1.0013487359878896,1.012971794111401,3600,7500
04M07,2021-06-07,6,N04D,-5.96,-37.27,10.41,-0.29,376.43,15.15,0.52,17.33,-96.58253,39.08278,TRUE,"c(0.5, 0.5)",0.6031135051097288,0.39688649489027117,1.0018633126100263,1.0032796127584989,1900,890
04M08,2021-06-07,6,N04D,-5.96,-37.24,10.44,-0.26,380.31,13.89,3.1,15.45,-96.58221,39.08131,TRUE,"c(0.5, 0.5)",0.6119665449273616,0.3880334550726384,1.0016182979476143,1.0010436860566492,3600,7500
04M08,2021-07-13,7,N04D,-5.92,-37.5,9.86,-0.83,380.31,13.89,3.1,15.45,-96.58221,39.08131,TRUE,"c(0.5, 0.5)",0.5595673661712801,0.4404326338287199,1.0018535704148848,1.0009084828549375,7500,7500
04M08,2021-08-09,8,N04D,-5.92,-37.24,10.12,-0.57,380.31,13.89,3.1,15.45,-96.58221,39.08131,TRUE,"c(0.5, 0.5)",0.4317190034634321,0.5682809965365679,1.0020010468304381,1.001392733247694,2000,3400
04M09,2021-06-07,6,N04D,-6,-37.48,10.52,-0.18,384.88,8.47,2.92,15.02,-96.581629,39.079941,TRUE,"c(0.5, 0.5)",0.6023557534417184,0.3976442465582815,1.0012824039589452,1.0094801504767767,4100,760
