"siteID","TWI","ContributingArea_ha","Elevation_m","Slope_prc","long","lat"
"01M01",16.6185398101807,28.3099,373.909790039062,1.96598646176319,-96.577021,39.086665
"01M02",15.3593635559082,27.8823,375.425323486328,6.79131327740862,-96.576332,39.086288
"01M03",15.6769094467163,25.997,378.814392089844,4.62101462346599,-96.575936,39.084711
"01M04",15.9005174636841,24.7026,381.780731201172,3.51433664873022,-96.5751011,39.08357235
"01M05",15.9600172042847,19.8808,384.710754394531,2.66639959902081,-96.574188,39.082643
"01M06",15.7502880096436,10.5589,394.224090576172,1.74732466454152,-96.571582,39.080649
"02M01",17.5062637329102,24.1532,353.349395751953,0.690609994150927,-96.58815,39.09187
"02M02",16.7412509918213,23.732,356.274871826172,1.45800846603901,-96.58832556,39.09084425
"02M03",15.9315042495728,20.3529,358.495635986328,2.80844838739997,-96.58859,39.08991
"02M04",16.0222511291504,18.9885,364.215728759766,2.39339935503844,-96.589642,39.088242
"02M05",16.3388805389404,17.783,367.758941650391,1.63363214959596,-96.59082413,39.08698067
"02M06",15.435941696167,15.6919,369.406402587891,3.552439129378,-96.591427,39.087237
"02M07",15.2601690292358,14.1328,373.296539306641,3.81356831268082,-96.59252,39.08648
"02M08",15.9329080581665,12.9671,376.867004394531,1.78764145530976,-96.592913,39.085573
"02M09",14.7479047775269,9.8943,379.947204589844,4.45377332227194,-96.59339,39.08482
"02M10",14.1281938552856,6.1497,387.223388671875,5.14093522350631,-96.59357,39.08251
"02M11",14.5844211578369,2.6741,401.544860839844,1.42006358225935,-96.593682,39.079249
"04M01",16.1275215148926,39.7602,355.157409667969,4.50414143049234,-96.586195,39.089842
"04M02",15.9580707550049,30.2096,362.072326660156,4.05573107937911,-96.58481,39.08775
"04M03",17.7147426605225,29.302,364.991577148438,0.680164764607852,-96.58366,39.08685
"04M04",15.8990774154663,28.413,367.72216796875,4.04636632071282,-96.58345,39.08576
"04M05",16.1744060516357,23.8689,370.058471679688,2.58365799856904,-96.5831,39.08502
"04M06",15.6375856399536,23.3323,372.054779052734,4.31490041279515,-96.58342,39.084258
"04M07",17.3331470489502,15.1506,376.434906005859,0.515087172551842,-96.58253,39.08278
"04M08",15.4511318206787,13.8929,380.307403564453,3.09870598857612,-96.58221,39.08131
"04M09",15.0155191421509,8.4654,384.876220703125,2.9192216286791,-96.581629,39.079941
"04M10",14.8743505477905,6.5928,393.935333251953,2.61861519948865,-96.58289,39.077433
"04M11",13.7661218643188,2.8759,404.717041015625,3.45818055341955,-96.583835,39.074718
"04M12",14.388445854187,2.2526,407.246307373047,1.45519363037948,-96.584063,39.073158
"04M13",14.388445854187,2.2526,407.246307373047,1.45519363037948,-96.584299,39.070814
"04T01",14.6586132049561,6.65,379.595428466797,3.27601365349085,-96.584301,39.082362
"04T02",14.3093347549438,3.6998,386.719055175781,2.58565615268831,-96.580865,39.079765
"04W01",14.729175567627,7.6246,360.56982421875,3.4996899968689,-96.58543,39.08816
"04W02",14.1996641159058,6.1059,370.888000488281,4.75410042094446,-96.58691,39.08611
"04W03",13.665397644043,4.2006,382.255523681641,5.57549280423922,-96.58803867,39.08385954
"04W04",13.686861038208,2.9816,390.920166015625,3.87979879049352,-96.58868,39.08228
"20M01",14.87513256073,18.9453,371.054534912109,7.48148874086965,-96.57694,39.08838
"20M02",16.0319766998291,16.3166,378.933532714844,2.03704263761412,-96.5737,39.08921
"20M03",15.6639547348022,9.0899,385.961334228516,1.63992573275483,-96.57178,39.08822
"20M04",15.419207572937,8.6075,389.796203613281,1.98325844763327,-96.57111,39.08709
"20M05",13.7070283889771,5.444,401.0048828125,6.91935096376316,-96.568,39.086
"SFM01",18.4498310089111,132.6873,350.811157226562,1.47647448239279,-96.587193,39.092281
"SFM02",17.5833492279053,107.6787,352.750610351562,2.84821417052932,-96.58632,39.09126
"SFM03",16.6171092987061,67.3302,353.385375976562,4.67389311910185,-96.58605,39.09095
"SFM04",18.6879825592041,60.9054,356.138275146484,0.534205380242959,-96.5844,39.09089
"SFM05",16.9318199157715,58.6702,361.067810058594,2.97703061412269,-96.58186,39.09019
"SFM06",16.90305519104,51.0121,365.224548339844,2.66445720234079,-96.57941,39.0895
"SFM07",17.5471897125244,49.9061,367.348571777344,1.36954357414589,-96.578458,39.088683
"SFT01",13.7874336242676,4.5053,356.83984375,5.29457699076767,-96.58517,39.09185
"SFT02",14.250189781189,4.8346,372.468902587891,3.5823483898089,-96.57852,39.09105
