siteID,date,month,watershed,d18O,d2H,dexcess,lcexcess,elevation_m,contributing_area_ha,slope_pct,twi,lon,lat,flowing
04M08,2021-06-07,6,N04D,-5.96,-37.24,10.44,-0.26,380.31,13.89,3.1,15.45,-96.58221,39.08131,TRUE
04M08,2021-07-13,7,N04D,-5.92,-37.5,9.86,-0.83,380.31,13.89,3.1,15.45,-96.58221,39.08131,TRUE
04M08,2021-08-09,8,N04D,-5.92,-37.24,10.12,-0.57,380.31,13.89,3.1,15.45,-96.58221,39.08131,TRUE
04M09,2021-06-07,6,N04D,-6,-37.48,10.52,-0.18,384.88,8.47,2.92,15.02,-96.581629,39.079941,TRUE
04M10,2021-06-07,6,N04D,-5.98,-37.31,10.53,-0.17,393.94,6.59,2.62,14.87,-96.58289,39.077433,TRUE
04M11,2021-06-07,6,N04D,-5.96,-37.22,10.46,-0.24,404.72,2.88,3.46,13.77,-96.583835,39.074718,TRUE
04M12,2021-06-07,6,N04D,-5.9,-37.2,10,-0.69,407.25,2.25,1.46,14.39,-96.584063,39.073158,TRUE
04T02,2021-06-07,6,N04D,-5.94,-37.18,10.34,-0.36,386.72,3.7,2.59,14.31,-96.580865,39.079765,TRUE
04W02,2021-06-07,6,N04D,-5.81,-36.49,9.99,-0.7,370.89,6.11,4.75,14.2,-96.58691,39.08611,TRUE
04W03,2021-06-07,6,N04D,-5.9,-36.89,10.31,-0.38,382.26,4.2,5.58,13.67,-96.58803867,39.08385954,TRUE
04W03,2021-07-13,7,N04D,-5.84,-37.02,9.7,-0.99,382.26,4.2,5.58,13.67,-96.58803867,39.08385954,FALSE
04W03,2021-08-09,8,N04D,-4.76,-30,8.08,-2.53,382.26,4.2,5.58,13.67,-96.58803867,39.08385954,FALSE
04W04,2021-06-07,6,N04D,-5.85,-36.79,10.01,-0.68,390.92,2.98,3.88,13.69,-96.58868,39.08228,TRUE
04W04,2021-07-13,7,N04D,-5.96,-37.82,9.86,-0.84,390.92,2.98,3.88,13.69,-96.58868,39.08228,TRUE
04W04,2021-08-09,8,N04D,-5.84,-36.79,9.93,-0.76,390.92,2.98,3.88,13.69,-96.58868,39.08228,FALSE
20M04,2021-06-07,6,N20B,-5.98,-36.99,10.85,0.15,389.8,8.61,1.98,15.42,-96.57111,39.08709,TRUE
20M05,2021-06-07,6,N20B,-6.01,-37.31,10.77,0.07,401,5.44,6.92,13.71,-96.568,39.086,TRUE
20M05,2021-07-13,7,N20B,-5.1,-32.41,8.39,-2.25,401,5.44,6.92,13.71,-96.568,39.086,FALSE
SFM01,2021-06-07,6,SFKC,-5.94,-37.93,9.59,-1.11,350.81,132.69,1.48,18.45,-96.587193,39.092281,TRUE
SFM01,2021-07-13,7,SFKC,-5.8,-36.39,10.01,-0.68,350.81,132.69,1.48,18.45,-96.587193,39.092281,FALSE
SFM02,2021-06-07,6,SFKC,-5.91,-36.91,10.37,-0.32,352.75,107.68,2.85,17.58,-96.58632,39.09126,TRUE
SFM03,2021-06-07,6,SFKC,-5.89,-36.82,10.3,-0.39,353.39,67.33,4.67,16.62,-96.58605,39.09095,TRUE
SFM04,2021-06-07,6,SFKC,-5.88,-36.9,10.14,-0.55,356.14,60.91,0.53,18.69,-96.5844,39.09089,TRUE
SFM05,2021-06-07,6,SFKC,-5.87,-36.77,10.19,-0.5,361.07,58.67,2.98,16.93,-96.58186,39.09019,TRUE
SFM05,2021-07-13,7,SFKC,-5.68,-36.74,8.7,-1.98,361.07,58.67,2.98,16.93,-96.58186,39.09019,FALSE
SFM06,2021-06-07,6,SFKC,-5.88,-36.8,10.24,-0.45,365.22,51.01,2.66,16.9,-96.57941,39.0895,TRUE
SFM07,2021-06-07,6,SFKC,-5.93,-37,10.44,-0.26,367.35,49.91,1.37,17.55,-96.578458,39.088683,TRUE
SFT01,2021-06-06,6,SFKC,-5.76,-36.56,9.52,-1.16,356.84,4.51,5.29,13.79,-96.58517,39.09185,TRUE
SFT01,2021-07-13,7,SFKC,-5.79,-37.29,9.03,-1.66,356.84,4.51,5.29,13.79,-96.58517,39.09185,FALSE
SFT01,2021-08-09,8,SFKC,-5.67,-36.25,9.11,-1.57,356.84,4.51,5.29,13.79,-96.58517,39.09185,FALSE
SFT02,2021-06-06,6,SFKC,-5.85,-36.98,9.82,-0.87,372.47,4.83,3.58,14.25,-96.57852,39.09105,TRUE
